Job Title,Company,Location,Salary,Write Time,Release Time
Test Manager,Infosys Management Consulting Pty Ltd,Perth WA,N/A,2023/11/15 15:43,Unknown
Solutions Architect,Arc Infrastructure Pty Ltd,Perth Airport,N/A,2023/11/15 15:43,2d ago
"Senior Automation Engineer, Cloud",Sinclair and Co,Sydney NSW,"$140,000 – $153,000 base, plus super and bonus",2023/11/15 15:43,23d ago
System Administrator Build Specialist,"Talent – Specialists in tech, transformation & beyond",Brisbane QLD,$900 - $1100 p.d.,2023/11/15 15:43,15d ago
Systems Administrator (Infrastructure & Cloud),Idea 11 Pty Ltd,Brisbane QLD,N/A,2023/11/15 15:43,22d ago
Infrastructure Operations Lead,PRA,Melbourne VIC,"$130,000 to $150,000 + Super (17%)",2023/11/15 15:43,12d ago
GCP Lead,HCL Australia Services Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:43,21d ago
Chief Architect,SustainAbility Consulting,Sydney NSW,"up to $210,000 + Super",2023/11/15 15:43,2d ago
Technical Lead,Department of the Premier and Cabinet,Adelaide SA,N/A,2023/11/15 15:43,8d ago
Tech Lead,Hydrogen Group Pty Ltd,Sydney NSW,$950 - $1050 p.d.,2023/11/15 15:43,12d ago
Infrastructure Solution Architect,Launch Recruitment Pty Ltd,Sydney NSW,$930pd inclusive of super,2023/11/15 15:43,14d ago
Junior to Mid Automation Engineers,Attribute Group,Melbourne VIC,N/A,2023/11/15 15:43,7d ago
Linux Server Admin - 3 month contract,The Recruitment Company,Melbourne VIC,$650 - $750 inc Super per day,2023/11/15 15:43,13d ago
Technical Lead,Retail Edge Consultants,Nerang,N/A,2023/11/15 15:43,5d ago
Technical Lead,face2face Recruitment,Canberra ACT,N/A,2023/11/15 15:43,10d ago
Solution Architect (Cloud),Antlia Australia Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:43,19d ago
Automation Engineer,Macquarie Group Limited,Sydney NSW,N/A,2023/11/15 15:43,15d ago
ICT Cloud System and Network Administrator,Education Services Australia,Melbourne VIC,Hybrid - 40% in the office,2023/11/15 15:43,2d ago
Automation Engineer- ASIC,Wipro Revolution IT,Sydney NSW,N/A,2023/11/15 15:43,1d ago
infrastructure Solution Designer,Macquarie Group Limited,Sydney NSW,N/A,2023/11/15 15:43,12d ago
IT Lead Engineer,Coates,Mascot,"Excellent salary package, incl. annual bonus plan",2023/11/15 15:43,26d ago
Business Development / Sales / Client Partner,Optisol Technologies,Melbourne VIC,N/A,2023/11/15 15:43,Unknown
"Senior Mobile Quality Engineer, ANZ Plus",ANZ Banking group,Melbourne VIC,N/A,2023/11/15 15:43,Unknown
Infrastructure Engineer,SSM Technologies,Canberra ACT,N/A,2023/11/15 15:43,15-Oct-23
APS6 Cloud Desktop Engineer,"Talent – Specialists in tech, transformation & beyond",Richmond,$650 - $700 daily,2023/11/15 15:43,14d ago
Senior Cloud Services Engineer,Chamonix IT Consulting,Adelaide SA,N/A,2023/11/15 15:43,21d ago
Security Systems Engineer,Suncorp,Brisbane QLD,Competitive salary; hybrid working,2023/11/15 15:43,6h ago
Linux Systems & Network Administrator,The Aquarium,Canberra ACT,N/A,2023/11/15 15:43,19d ago
Cloud Solutions Architect,Brennan IT,Sydney NSW,N/A,2023/11/15 15:43,26d ago
Infrastructure Engineer - up to $550/day,CircuIT Recruitment Group,Sydney NSW,N/A,2023/11/15 15:43,22d ago
Senior Software Engineer,Microsoft,Sydney NSW,Subsidised health insurance + stock discounts,2023/11/15 15:43,1d ago
"Backend Developer - AWS, Golang, TypeScript",Adapptor,Perth WA,"$90,000 – $120,000 + super",2023/11/15 15:43,7d ago
Principal Engineer (Digital Experience),Versent Pty Ltd,Perth WA,N/A,2023/11/15 15:43,14d ago
Senior System Engineer/Specialist,Decmil,Perth WA,N/A,2023/11/15 15:43,6h ago
Cloud Monitoring Specialist,Talenza,Melbourne VIC,$600 - $650 p.d. + Long term contract,2023/11/15 15:43,28d ago
IT Infrastructure Engineer - Network | Server | Cloud,Genesis Recruitment Solutions,Sydney NSW,$120K Base + Super,2023/11/15 15:43,21d ago
Infrastructure Systems Engineer - Permanent Opportunity,Halcyon Knights Pty Ltd,Sydney NSW,AUD 125000 - 135000 per annum,2023/11/15 15:43,9d ago
Technical Lead Veritas,HCL Australia Services Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:43,1d ago
AWS Solution Architect,Antlia Australia Pty Ltd,Canberra ACT,N/A,2023/11/15 15:43,19d ago
Technical Engineer – Verint CX WFM or Nice CXone WFO,Green Light PS Pty Ltd,Canberra ACT,AUD 800 - 900 per day,2023/11/15 15:43,6d ago
Integration Engineer,AJQ,Sydney NSW,N/A,2023/11/15 15:43,5d ago
Senior Microsoft Systems Engineer,Attorney-General's Department,Adelaide SA,N/A,2023/11/15 15:43,8d ago
API Security Engineer,Robert Walters,Melbourne VIC,$800 - $850 p.d. + Incl Super,2023/11/15 15:43,1d ago
Azure Developer,GMHBA,Geelong,N/A,2023/11/15 15:43,Unknown
Systems Administrator (Linux),Consunet Pty Ltd,Adelaide SA,N/A,2023/11/15 15:43,26d ago
Integrations and Solutions Engineer,Redlands,Cremorne,N/A,2023/11/15 15:43,5d ago
Cloud Engineer - Solutions Design | Network Access,Genesis Recruitment Solutions,Sydney NSW,up to $180K Base+Super,2023/11/15 15:43,12d ago
Technical Team Lead,Paxus,Brisbane QLD,$150000-160000,2023/11/15 15:43,19d ago
Cloud Infrastructure Services Lead,Komatsu Australia Pty Ltd,Wacol,N/A,2023/11/15 15:43,26d ago
Technical Lead,Suncorp,Sydney NSW,N/A,2023/11/15 15:43,8d ago
AWS Solution Architect,HCL Australia Services Pty Ltd,Melbourne VIC,"$145,000 – $165,000 per year",2023/11/15 15:43,26d ago
Senior Architect,Hays | Technology,Sydney NSW,Annual Salary + Annual Bonus,2023/11/15 15:43,5d ago
Data Centre Engineer/Consultant,Better Staff,Sydney NSW,N/A,2023/11/15 15:43,2d ago
System Administrator - Linux,Harvey Norman,Silverwater,N/A,2023/11/15 15:43,26d ago
"Technical Lead, Drupal",Ignite,Canberra ACT,Competitive,2023/11/15 15:43,16d ago
Python Engineer Capital Markets Quant Desk,Clarrow Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:43,1d ago
Data Engineer Lead - Cloud Engineer,HealthShare NSW,Sydney NSW,"$137,173 - $163,431",2023/11/15 15:43,12d ago
Senior System Engineer,EGM Partners,Adelaide SA,N/A,2023/11/15 15:43,7d ago
Senior Digital Fullstack Engineer,CBUS Super,Melbourne VIC,N/A,2023/11/15 15:43,9d ago
Data Centre Systems Engineer,Cirrus Networks,Perth WA,N/A,2023/11/15 15:43,7d ago
Lead System Engineer,Slade Group,Melbourne VIC,Competitive,2023/11/15 15:43,20d ago
Technical Lead,UniSuper Management Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:43,14d ago
Technical Team Lead,Davidson,Brisbane QLD,"$150k - $165k p.a. +  Super, 10% Conditional bonus",2023/11/15 15:43,20d ago
Red Hat Linux Systems Administrator,The Network,Parramatta,N/A,2023/11/15 15:43,12d ago
System Team Lead,GRANITE CONSULTING,Melbourne VIC,$140k - $160k + Super,2023/11/15 15:43,8h ago
